"","long","lat","order","hole","piece","id","group","n_accidents","All.usual.residents","Males","Females","children","adults","A Road","B Road","Motorway","Not Classified","Unclassified","Total_km","LSOA11CD","count_Sev1","count_Sev2","count_Sev3","road.rate","basicrate.q","Sev1_rate","Sev1_q"
"100",259589.60900002,188762.39099975,100,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"101",259522.50000042,188598.40599947,101,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"102",259531.78800052,188542.50599987,102,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"103",259446.38500071,188363.3889995,103,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"104",259433.24499954,188313.7660004,104,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"105",259402.90600068,188251.1100003,105,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"106",259189.4989995,188215.7010006,106,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"107",259180.20300013,188181.10900017,107,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"108",259202.38999952,188181.60500045,108,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"109",259196.20300034,188021.79699986,109,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"110",259304.90599972,187930.49999948,110,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"111",259374.50000062,187913.99999935,111,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"112",259417.9059996,187797.99999998,112,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"113",259395.69999937,187715.29899967,113,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"114",259322.50000065,187695.9999997,114,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"115",259309.40399988,187640.69800062,115,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"116",259285.30000022,187654.39999972,116,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"117",259228.39999933,187614.90000056,117,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"118",259067.90000018,187658.09999997,118,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"119",258951.40099971,187595.519,119,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"120",258916.12399972,187599.69400061,120,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"121",258894.65299963,187692.15799992,121,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"122",258772.24100068,187843.9660004,122,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"123",258842.92600009,188020.14599958,123,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"124",259032.11800037,188084.831,124,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"125",258886.99200054,188520.04100014,125,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"126",258900.37899938,188590.33699942,126,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"127",258876.09799935,188639.42900031,127,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"128",258650.14400053,188575.64199948,128,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"129",258667.65400032,188533.12500054,129,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"130",258581.2170001,188505.79900036,130,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"131",258566.86599963,188462.26499985,131,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"132",258510.57400054,188490.00300062,132,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"133",258490.24399953,188661.48699936,133,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
